Mean
Before - Crisis - After
0.14 - 0.07 - 0.35
0.16 - -0.04 - 0.32
0.13 - 0.19 - 0.26
0.23 - 0.35 - 0.22
0.27 - 0.03 - 0.29
0.14 - -0.16 - 0.34
0.14 - 0.38 - 0.23
0.13 - 0.39 - 0.21
0.26 - 0.19 - 0.25
0.19 - 0.2 - 0.17
0.08 - 0.64 - 0.18
0.26 - -0.56 - 0.29
0.22 - -0.29 - 0.44
0.04 - 0.34 - 0.32
0.19 - 0.68 - 0.11
0.34 - -0.15 - 0.01
0.13 - 0.21 - 0.18
0.29 - 0.01 - 0.38
0.28 - 0.2 - 0.14
0.27 - 0.24 - 0.1
0.26 - -0.02 - 0.39
0.12 - -0.01 - 0.42
0.19 - 0.68 - 0.11


Variance
Before - Crisis - After
738.8 - 13477.79 - 2963.39
459.01 - 5839.99 - 1289.61
373.08 - 3615.99 - 1218.43
310.8 - 2428.69 - 1070.59
1347.28 - 16588.04 - 2737.96
1335.06 - 7765.52 - 1928.59
440.89 - 3483.17 - 1599.46
604.98 - 4555.22 - 1697.05
1388.86 - 13825.54 - 2596.08
1180.18 - 12436.29 - 1703.62
556.06 - 7311.65 - 2148.77
1207.51 - 8387.84 - 4009.63
757.87 - 13103.68 - 2988.53
631.14 - 15678.79 - 3522.07
456.0 - 13050.5 - 3793.55
983.18 - 12028.64 - 5781.84
2102.3 - 9678.98 - 1211.61
1210.3 - 6998.57 - 2529.46
373.01 - 3616.19 - 1218.44
236.48 - 2267.59 - 968.78
651.25 - 19925.16 - 5163.17
190.75 - 5326.17 - 1807.03
456.0 - 13050.5 - 3793.55


Standard Deviation
Before - Crisis - After
27.18 - 116.09 - 54.44
21.42 - 76.42 - 35.91
19.32 - 60.13 - 34.91
17.63 - 49.28 - 32.72
36.71 - 128.79 - 52.33
36.54 - 88.12 - 43.92
21.0 - 59.02 - 39.99
24.6 - 67.49 - 41.2
37.27 - 117.58 - 50.95
34.35 - 111.52 - 41.27
23.58 - 85.51 - 46.35
34.75 - 91.59 - 63.32
27.53 - 114.47 - 54.67
25.12 - 125.21 - 59.35
21.35 - 114.24 - 61.59
31.36 - 109.68 - 76.04
45.85 - 98.38 - 34.81
34.79 - 83.66 - 50.29
19.31 - 60.13 - 34.91
15.38 - 47.62 - 31.13
25.52 - 141.16 - 71.86
13.81 - 72.98 - 42.51
21.35 - 114.24 - 61.59
